,Sub Division,Year of Installation,Project Name,Meter Installation Date,Village,PV Cap. from Form,Ref. DC V,Actual DC V,String 1: DC V,String 1: DC A,String 2: DC V,String 2: DC A,AC V,AC A,Power (W),E-Today (kWh),E-Total (kWh),Gen. in Solar meter (kWh) ,Avg. Solar generation per kW,Verified,Current Status of Inverter,Check List 1: Connection tightness of AC/DC box is ok?,Check List 2: Tightness nearer to meter connection is ok?,Check List 3: Connection of Earthing & L.A. is ok?,Check List 4: DC/AC connector is ok?,Check List 5: Wire Dressing is ok?,Check List 6: Wifi Connection is ok?,Check List 7: Tightness of U & Z clamp is ok?,Check List 8: Colour of  Welding Joint is ok?,Check List 9: Concrete Block is there?,Check  List 10: Visual checking of all parts,Observation
958,GODADRA SD,2018-19,2018-19R0099,12/3/2018,Parvatgaam,5.2,480,260.0,260.0,12.3,0.0,0.0,260.5,11.9,3170.0,7.4,1815.0,19105.0,3.06,Done,Normal,Yes,Yes,Yes,Yes,Yes,"WIFI is available at home but the range does not come up to the inverter. (ઘર માં WIFI છે. પણ, રેનજ નથી આવતી ઇન્વર્ટર સુધી.)",Yes,Yes,Yes,Yes,Ok cebal ty correct /sedaling correct 
959,GODADRA SD,2018-19,2018-19R0075,12/17/2018,Godadra ,5.2,480,466.0,250.0,6.1,216.0,5.8,238.0,11.2,2730.0,6.9,17000.0,17709.0,2.87,Done,Normal,Yes,Yes,Yes,Yes,Yes,Lagavanu che avta jata ,Yes,Yes,Not required (જરૂર નથી),Yes,"Ok,cebal ty correct "
960,UDHNA R O&M SD,2018-19,2018-19R0027,4/9/2019,Bheshtan,5.2,480,532.0,280.0,2.6,252.0,2.9,252.0,5.7,1492.0,4.1,17000.0,17056.0,3.05,Done,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Ok,cebal ty correct sedaling, penal clining nathi"
961,ADAJAN S DN,2018-19,2018-19R0103,5/30/2019,Green park soc. ,5.2,480,537.0,269.0,3.8,268.0,4.4,232.0,7.1,1599.0,6,17000.0,17664.0,3.31,Done,Normal,Yes,Yes,Nathi,Yes,Yes,Wi-Fi nathi lagavelu invetar ma,Yes,Yes,Yes,Yes,Ok
962,ADAJAN S DN,2018-19,2018-19R0172,3/8/2019,Adajan,3.25,300,347.7,347.7,2.7,0.0,0.0,257.0,3.8,1004.0,4.2,12000.0,12381.0,3.44,Done,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Support on wall (વોલ પર સપોર્ટ છે),Yes,"Ok,cebal ty correct "
963,ADAJAN S DN,2018-19,2018-19R0202,1/23/2019,Parishram park soc. Adajan,1.95,180,200.0,200.0,6.8,0.0,0.0,255.0,4.3,760.0,2,7573.0,5700.0,2.54,Done,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Ok
964,ADAJAN S DN,2018-19,2018-19R0215,2/13/2019,Sai squar rawhous. Adajan,2.925,270,303.0,303.0,7.0,0.0,0.0,255.0,5.8,1381.0,4.6,13000.0,13118.0,3.96,Done,Normal,Yes,Yes,Nathi,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Ok
965,ADAJAN S DN,2018-19,2018-19R0329,5/30/2019,Adajan,5.85,540,596.4,297.4,4.3,299.0,4.0,257.0,8.8,2406.0,10,20000.0,22416.0,3.73,Done,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Ok, cebal ty correct "
966,ADAJAN S DN,2018-19,2018-19R1036,4/9/2019,Adajan,2.275,210,232.9,232.9,5.2,0.0,0.0,262.0,4.1,1104.0,3.8,8388.0,8405.0,3.43,Done,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not required (જરૂર નથી),Yes,Ok 
967,ADAJAN S DN,2018-19,2018-19R1018,4/9/2019,Adajan,2.275,210,231.2,231.2,3.6,0.0,0.0,256.0,3.1,941.0,3.7,8717.0,8707.0,3.55,Done,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not required (જરૂર નથી),Yes,Ok
968,ADAJAN S DN,2018-19,2018-19R1005,4/9/2019,Adajan,2.925,270,290.0,290.0,6.6,0.0,0.0,262.0,7.2,1933.0,6.2,11000.0,11456.0,3.64,Done,Normal,Yes,Yes,Yes,Yes,Yes,WIFI not available at home (ઘર માં WIFI નથી.),Yes,Yes,Not required (જરૂર નથી),Yes,"Ok,cebal ty correct "
969,ADAJAN S DN,2018-19,2018-19R0178,3/9/2019,Adajan,1.95,180,200.0,200.0,6.2,0.0,0.0,262.0,4.75,1251.0,5.3,7729.0,8446.0,3.91,Done,Normal,Yes,Yes,Nathi,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Ok
970,ADAJAN S DN,2018-19,2018-19R0213,2/5/2019,Adajan,1.95,180,198.0,198.0,7.8,0.0,0.0,265.0,5.1,1314.0,7.5,8116.0,7999.0,3.6,Done,Normal,Yes,Yes,Nathi,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Ok
971,ADAJAN S DN,2018-19,2018-19R0135,4/10/2019,Adajan,5.2,480,262.5,262.5,10.4,0.0,0.0,255.0,10.5,2716.0,14,15000.0,15200.0,2.72,Done,Normal,Yes,Yes,Yes,Yes,Yes,WIFI not available at home (ઘર માં WIFI નથી.),Yes,Yes,Yes,Yes,"Ok,cebal ty correct "
